"match_id","set_id","team_1_comp_id","team_2_comp_id","team_1_ban_1","team_2_ban_1","team_1_ban_2","team_2_ban_2","team_1_player_1","team_1_player_2","team_1_player_3","team_1_player_4","team_1_player_5","team_2_player_1","team_2_player_2","team_2_player_3","team_2_player_4","team_2_player_5","team_1_id","team_2_id"
85,32,172,166,13,22,51,71,24,22,29,21,23,62,25,15,14,63,5,13
86,32,167,168,22,71,46,56,15,25,14,62,63,23,29,22,21,24,13,5
91,36,184,182,8,60,2,34,80,81,83,82,79,35,41,42,40,43,18,9
90,36,183,181,8,60,74,34,82,81,80,83,79,35,43,41,42,40,18,9
89,36,179,180,8,60,74,50,82,81,79,80,83,43,41,35,40,42,18,9
94,37,187,190,40,56,22,8,6,8,9,20,7,84,85,87,33,86,2,19
93,37,189,186,56,40,8,22,84,85,33,86,87,6,9,20,8,7,19,2
92,37,185,188,56,40,8,22,84,85,33,86,87,6,9,8,20,7,19,2
95,38,191,193,22,56,17,67,97,94,96,95,93,88,92,91,89,90,20,21
96,38,194,192,74,56,22,71,93,97,95,94,96,89,88,90,91,92,20,21
97,39,195,196,32,17,22,60,13,73,11,26,36,98,100,101,102,99,3,22
98,39,197,198,74,32,60,8,101,102,100,98,99,26,13,36,73,11,22,3
100,40,202,200,56,40,60,22,84,33,85,86,87,107,105,106,103,104,19,23
99,40,199,201,56,40,60,74,85,33,84,86,87,107,105,106,103,104,19,23
101,41,203,205,28,74,50,57,68,66,108,65,2,79,81,82,80,83,15,18
102,41,204,206,57,28,74,50,82,81,83,80,79,68,66,2,108,65,18,15
103,42,207,210,56,22,71,74,89,92,91,90,88,23,29,24,21,22,21,5
104,42,208,209,56,74,13,69,89,92,91,90,88,21,29,23,22,24,21,5
105,43,211,216,2,60,22,41,24,22,29,21,23,2,66,68,108,65,5,15
106,43,213,212,2,60,22,41,21,23,29,22,24,2,66,68,108,65,5,15
107,43,215,214,2,60,22,41,21,23,29,22,24,2,66,68,108,65,5,15
108,44,217,219,32,22,57,56,13,11,73,26,36,107,105,106,103,104,3,23
109,44,218,222,56,74,22,57,106,105,107,103,104,13,26,36,73,11,23,3
110,44,221,220,56,74,45,22,106,105,107,103,104,73,36,13,26,11,23,3
111,45,223,227,71,60,57,74,36,13,73,26,11,68,108,65,66,2,3,15
112,45,224,228,56,57,22,74,68,2,108,65,66,26,13,73,11,36,15,3
113,45,225,229,57,56,71,22,13,26,73,11,36,68,108,65,66,2,3,15
114,45,226,230,22,57,69,74,65,108,68,66,2,11,13,73,26,36,15,3
